"","V1","V2","V3","V4","V5"
"1","varprop","0.113268112334659","72.3362390429549","500","1"
"2","vargam","0.13571011655234","56.3986331588631","500","1"
"3","movblk","0.107894946471044","68.9047824545412","500","1"
"4","movblk.du","0.0373786051997297","23.8710407111863","500","1"
"5","pointest","638.628450249368",NA,"500","1"
"6","varprop","0.126030096568793","76.9213943647413","500","1"
"7","vargam","0.125287024109904","60.3621823449572","500","1"
"8","movblk","0.0839530984211621","51.2400574752489","500","1"
"9","movblk.du","0.0344620932977354","21.0336446718712","500","1"
"10","pointest","610.341469688185",NA,"500","1"
"11","varprop","0.12776042772045","55.6001995619454","500","1"
"12","vargam","0.171909720440342","44.6819807411015","500","1"
"13","movblk","0.140971153790782","61.3493898157215","500","1"
"14","movblk.du","0.0320655436836685","13.9546388477602","500","1"
"15","pointest","435.191088148226",NA,"500","1"
"16","varprop","0.125993793566376","68.8095747953772","500","1"
"17","vargam","0.136087584949877","53.614969289615","500","1"
"18","movblk","0.0989159039041458","54.0214013363992","500","1"
"19","movblk.du","0.0358359688312245","19.5712638524363","500","1"
"20","pointest","546.134637648851",NA,"500","1"
"21","varprop","0.124244683497797","36.4488757407838","500","1"
"22","vargam","0.154888505968059","29.3479092993178","500","1"
"23","movblk","0.123020944589546","36.0898752093303","500","1"
"24","movblk.du","0.034700769141762","10.1799448229923","500","1"
"25","pointest","293.363665266451",NA,"500","1"
"26","varprop","0.125565915892874","35.1449175154296","500","1"
"27","vargam","0.15588463100761","28.3388396696985","500","1"
"28","movblk","0.120620865713432","33.7608366569389","500","1"
"29","movblk.du","0.0318585649282062","8.91696308349312","500","1"
"30","pointest","279.892176674864",NA,"500","1"
"31","varprop","0.125532168342799","38.6180538770051","500","1"
"32","vargam","0.16167204080069","30.8345459069661","500","1"
"33","movblk","0.133246600692424","40.991281138521","500","1"
"34","movblk.du","0.0444278475085531","13.6675485763892","500","1"
"35","pointest","307.63472332883",NA,"500","1"
"36","varprop","0.111233637491061","48.9758441710073","500","1"
"37","vargam","0.136202182148498","38.4201144186037","500","1"
"38","movblk","0.113441234411201","49.9478426167276","500","1"
"39","movblk.du","0.0466713231016461","20.5492466041545","500","1"
"40","pointest","440.29706548923",NA,"500","1"
"41","varprop","0.125243963035562","47.2021717908574","500","1"
"42","vargam","0.144370813083745","37.4822211843717","500","1"
"43","movblk","0.109410658365226","41.2348872291737","500","1"
"44","movblk.du","0.0361299770838835","13.6167312481878","500","1"
"45","pointest","376.881812478697",NA,"500","1"
"46","varprop","0.125289356153959","51.7269559864864","500","1"
"47","vargam","0.142023389594117","41.0143520602865","500","1"
"48","movblk","0.105698778933681","43.638791462934","500","1"
"49","movblk.du","0.0271001191460907","11.1885535478033","500","1"
"50","pointest","412.859939378433",NA,"500","1"
"51","varprop","0.115210457952863","37.5321267326952","500","1"
"52","vargam","0.153309471550119","30.2698645590498","500","1"
"53","movblk","0.126693574467861","41.2729831791086","500","1"
"54","movblk.du","0.0354855678754986","11.5601383272843","500","1"
"55","pointest","325.770137534311",NA,"500","1"
"56","varprop","0.124402829416153","82.9046954609761","500","1"
"57","vargam","0.133643763221087","64.2047101112776","500","1"
"58","movblk","0.0984045592422327","65.5788944209467","500","1"
"59","movblk.du","0.038366584396056","25.5683090984414","500","1"
"60","pointest","666.421301268345",NA,"500","1"
"61","varprop","0.12243012667349","56.9382355692198","500","1"
"62","vargam","0.132373687476987","45.4890621727039","500","1"
"63","movblk","0.0966615706774727","44.95412551849","500","1"
"64","movblk.du","0.0401584141192082","18.6763610014368","500","1"
"65","pointest","465.067194785059",NA,"500","1"
"66","varprop","0.118681229730194","44.6305891739028","500","1"
"67","vargam","0.153301983258204","35.6961999438281","500","1"
"68","movblk","0.126833002694858","47.6960986150502","500","1"
"69","movblk.du","0.0456509544328209","17.167238638491","500","1"
"70","pointest","376.054320260794",NA,"500","1"
"71","varprop","0.116380617353303","52.2285996785981","500","1"
"72","vargam","0.132752829209894","40.6482373183364","500","1"
"73","movblk","0.106721661131016","47.8939108848837","500","1"
"74","movblk.du","0.0476509979789285","21.3845308121362","500","1"
"75","pointest","448.774038721971",NA,"500","1"
"76","varprop","0.131807771830532","45.0055112971705","500","1"
"77","vargam","0.148126340214637","36.3698470155585","500","1"
"78","movblk","0.106731442100328","36.443246528631","500","1"
"79","movblk.du","0.0346167391047718","11.8198192808698","500","1"
"80","pointest","341.448085132909",NA,"500","1"
"81","varprop","0.118370266005365","84.3397911620135","500","1"
"82","vargam","0.118940800822195","64.9548022066349","500","1"
"83","movblk","0.087293820150282","62.1975670889802","500","1"
"84","movblk.du","0.0489877652698624","34.9041869363262","500","1"
"85","pointest","712.50825066314",NA,"500","1"
"86","varprop","0.119909804253028","45.8622571609422","500","1"
"87","vargam","0.132616919603298","36.1283169836868","500","1"
"88","movblk","0.0977683143740383","37.3937360997799","500","1"
"89","movblk.du","0.0326137356110334","12.4738718313305","500","1"
"90","pointest","382.47295495676",NA,"500","1"
"91","varprop","0.114812054518043","58.9635033304772","500","1"
"92","vargam","0.132630007799227","46.065702561982","500","1"
"93","movblk","0.104758358638792","53.8002725795926","500","1"
"94","movblk.du","0.0439777623301368","22.585458874551","500","1"
"95","pointest","513.56544030149",NA,"500","1"
"96","varprop","0.120439173615582","63.6164623491871","500","1"
"97","vargam","0.140581964039789","49.7267154686954","500","1"
"98","movblk","0.112626476964581","59.4897641377697","500","1"
"99","movblk.du","0.038614374491664","20.3962699779646","500","1"
"100","pointest","528.204075463339",NA,"500","1"
"101","varprop","0.118806889534234","61.4378899905873","500","1"
"102","vargam","0.13816039961486","48.7618960382183","500","1"
"103","movblk","0.105876122325382","54.7510803587062","500","1"
"104","movblk.du","0.0363575574264832","18.8013643169329","500","1"
"105","pointest","517.123966728244",NA,"500","1"
"106","varprop","0.120062302695801","68.1877242223956","500","1"
"107","vargam","0.133950924172024","53.6840240444919","500","1"
"108","movblk","0.102719901273439","58.3383471990487","500","1"
"109","movblk.du","0.0459750115604257","26.1108719307727","500","1"
"110","pointest","567.936168900246",NA,"500","1"
"111","varprop","0.113066027024586","54.3193534985884","500","1"
